employee_id,month,age,gender,education,job_family,tenure_months,base_salary,overtime_hours,performance_score,burnout_index,engagement_score,training_participation,salary_change_flag,attrition_flag
EMP_0001,1,26,M,BA,Sales,88,525.5,11.1,4,0.09,0.89,0,0,1
EMP_0002,1,33,F,BA,Marketing,92,304.9,26.0,5,0.25,0.94,0,0,0
EMP_0002,2,33,F,BA,Marketing,93,304.9,19.8,4,0.22,0.83,1,0,0
EMP_0002,3,33,F,BA,Marketing,94,304.9,39.1,3,0.38,0.72,0,0,0
EMP_0002,4,33,F,BA,Marketing,95,304.9,29.5,4,0.37,0.81,0,0,0
EMP_0002,5,33,F,BA,Marketing,96,304.9,8.4,3,0.1,0.71,1,0,0
EMP_0002,6,33,F,BA,Marketing,97,304.9,0.0,5,-0.05,0.97,0,0,0
EMP_0002,7,33,F,BA,Marketing,98,304.9,31.9,5,0.34,0.96,0,0,0
EMP_0002,8,33,F,BA,Marketing,99,304.9,21.0,3,0.23,0.71,1,0,0
EMP_0002,9,33,F,BA,Marketing,100,304.9,14.9,3,0.18,0.72,0,0,0
EMP_0002,10,33,F,BA,Marketing,101,304.9,22.1,5,0.25,0.94,0,0,0
EMP_0002,11,33,F,BA,Marketing,102,304.9,31.6,4,0.36,0.91,0,0,0
EMP_0002,12,34,F,BA,Marketing,103,320.1,23.3,4,0.23,0.81,0,1,0
EMP_0002,13,34,F,BA,Marketing,104,320.1,27.8,4,0.27,0.8,0,0,0
EMP_0002,14,34,F,BA,Marketing,105,320.1,46.3,4,0.41,0.83,0,0,0
EMP_0002,15,34,F,BA,Marketing,106,320.1,9.7,5,0.18,1.01,0,0,0
EMP_0002,16,34,F,BA,Marketing,107,320.1,13.9,3,0.12,0.75,0,0,0
EMP_0002,17,34,F,BA,Marketing,108,320.1,6.0,2,0.1,0.67,0,0,0
EMP_0002,18,34,F,BA,Marketing,109,320.1,11.3,3,0.09,0.88,0,0,0
EMP_0002,19,34,F,BA,Marketing,110,320.1,18.5,3,0.2,0.69,0,0,0
EMP_0002,20,34,F,BA,Marketing,111,320.1,11.5,4,0.07,0.85,0,0,0
EMP_0002,21,34,F,BA,Marketing,112,320.1,24.6,5,0.22,0.95,0,0,0
EMP_0002,22,34,F,BA,Marketing,113,320.1,23.4,3,0.33,0.84,0,0,0
EMP_0002,23,34,F,BA,Marketing,114,320.1,32.3,3,0.32,0.81,0,0,0
EMP_0002,24,35,F,BA,Marketing,115,320.1,25.1,3,0.28,0.84,0,0,0
EMP_0002,25,35,F,BA,Marketing,116,320.1,20.8,3,0.25,0.78,0,0,0
EMP_0002,26,35,F,BA,Marketing,117,320.1,18.6,3,0.22,0.78,0,0,0
EMP_0002,27,35,F,BA,Marketing,118,320.1,29.3,3,0.24,0.79,0,0,0
EMP_0002,28,35,F,BA,Marketing,119,320.1,2.9,5,0.03,1.0,0,0,0
EMP_0002,29,35,F,BA,Marketing,120,320.1,25.0,3,0.29,0.77,0,0,0
EMP_0002,30,35,F,BA,Marketing,121,320.1,28.5,3,0.37,0.68,0,0,0
EMP_0002,31,35,F,BA,Marketing,122,320.1,9.1,5,0.02,0.99,0,0,0
EMP_0002,32,35,F,BA,Marketing,123,320.1,10.4,3,0.16,0.88,0,0,0
EMP_0002,33,35,F,BA,Marketing,124,320.1,21.5,5,0.26,0.95,0,0,0
EMP_0002,34,35,F,BA,Marketing,125,320.1,33.6,4,0.4,0.82,0,0,0
EMP_0002,35,35,F,BA,Marketing,126,320.1,4.3,1,0.04,0.6,0,0,0
EMP_0002,36,36,F,BA,Marketing,127,320.1,26.1,3,0.16,0.72,0,0,0
EMP_0003,1,30,M,BA,Admin,23,550.8,9.2,2,0.14,0.67,0,0,0
EMP_0003,2,30,M,BA,Admin,24,550.8,10.4,3,0.17,0.79,0,0,0
EMP_0003,3,30,M,BA,Admin,25,550.8,25.1,3,0.32,0.74,0,0,0
EMP_0003,4,30,M,BA,Admin,26,550.8,22.3,3,0.23,0.71,0,0,0
EMP_0003,5,30,M,BA,Admin,27,550.8,17.6,3,0.09,0.8,0,0,0
EMP_0003,6,30,M,BA,Admin,28,550.8,11.1,3,0.09,0.75,0,0,0
EMP_0003,7,30,M,BA,Admin,29,550.8,26.8,2,0.39,0.71,0,0,0
EMP_0003,8,30,M,BA,Admin,30,550.8,20.2,3,0.22,0.72,0,0,0
EMP_0003,9,30,M,BA,Admin,31,550.8,28.5,1,0.25,0.63,0,0,0
EMP_0003,10,30,M,BA,Admin,32,550.8,23.2,4,0.15,0.81,0,0,0
EMP_0003,11,30,M,BA,Admin,33,550.8,29.2,3,0.23,0.85,0,0,0
EMP_0003,12,31,M,BA,Admin,34,550.8,17.6,2,0.27,0.48,0,0,0
EMP_0003,13,31,M,BA,Admin,35,550.8,9.8,3,0.17,0.83,1,0,0
EMP_0003,14,31,M,BA,Admin,36,550.8,20.6,4,0.32,0.79,0,0,0
EMP_0003,15,31,M,BA,Admin,37,550.8,24.6,1,0.28,0.55,0,0,0
EMP_0003,16,31,M,BA,Admin,38,550.8,13.8,3,0.24,0.74,0,0,0
EMP_0003,17,31,M,BA,Admin,39,550.8,25.9,3,0.23,0.76,0,0,0
EMP_0003,18,31,M,BA,Admin,40,550.8,13.8,4,0.12,0.92,0,0,0
EMP_0003,19,31,M,BA,Admin,41,550.8,23.1,3,0.26,0.71,0,0,0
EMP_0003,20,31,M,BA,Admin,42,550.8,2.1,4,-0.04,0.94,0,0,0
EMP_0003,21,31,M,BA,Admin,43,550.8,18.0,4,0.16,0.88,0,0,0
EMP_0003,22,31,M,BA,Admin,44,550.8,14.8,4,0.2,0.88,0,0,0
EMP_0003,23,31,M,BA,Admin,45,550.8,18.7,3,0.1,0.76,0,0,0
EMP_0003,24,32,M,BA,Admin,46,578.3,27.7,4,0.31,0.84,0,1,0
EMP_0003,25,32,M,BA,Admin,47,578.3,11.0,3,0.09,0.82,0,0,0
EMP_0003,26,32,M,BA,Admin,48,578.3,26.1,2,0.33,0.65,0,0,0
EMP_0003,27,32,M,BA,Admin,49,578.3,14.9,4,0.21,0.83,0,0,0
EMP_0003,28,32,M,BA,Admin,50,578.3,13.4,2,0.2,0.68,0,0,0
EMP_0003,29,32,M,BA,Admin,51,578.3,34.8,2,0.33,0.63,0,0,0
EMP_0003,30,32,M,BA,Admin,52,578.3,32.7,3,0.37,0.72,0,0,0
EMP_0003,31,32,M,BA,Admin,53,578.3,24.0,3,0.24,0.8,0,0,0
EMP_0003,32,32,M,BA,Admin,54,578.3,24.7,3,0.25,0.82,0,0,0
EMP_0003,33,32,M,BA,Admin,55,578.3,29.6,3,0.29,0.79,0,0,0
EMP_0003,34,32,M,BA,Admin,56,578.3,18.4,3,0.12,0.74,0,0,0
EMP_0003,35,32,M,BA,Admin,57,578.3,21.5,4,0.12,0.89,0,0,0
EMP_0003,36,33,M,BA,Admin,58,578.3,27.4,3,0.35,0.79,0,0,0
EMP_0004,1,31,M,BA,Admin,98,522.1,22.8,1,0.24,0.53,0,0,0
EMP_0004,2,31,M,BA,Admin,99,522.1,21.7,4,0.26,0.82,0,0,0
EMP_0004,3,31,M,BA,Admin,100,522.1,33.6,3,0.29,0.71,0,0,0
EMP_0004,4,31,M,BA,Admin,101,522.1,20.0,3,0.18,0.74,0,0,0
EMP_0004,5,31,M,BA,Admin,102,522.1,28.9,2,0.31,0.71,0,0,0
EMP_0004,6,31,M,BA,Admin,103,522.1,25.9,4,0.32,0.85,0,0,0
EMP_0004,7,31,M,BA,Admin,104,522.1,28.0,3,0.24,0.76,0,0,0
EMP_0004,8,31,M,BA,Admin,105,522.1,28.7,3,0.28,0.84,0,0,0
EMP_0004,9,31,M,BA,Admin,106,522.1,22.3,4,0.23,0.83,0,0,0
EMP_0004,10,31,M,BA,Admin,107,522.1,1.8,3,0.06,0.9,0,0,0
EMP_0004,11,31,M,BA,Admin,108,522.1,9.0,3,0.05,0.87,0,0,0
EMP_0004,12,32,M,BA,Admin,109,522.1,20.8,3,0.23,0.73,0,0,0
EMP_0004,13,32,M,BA,Admin,110,522.1,30.5,3,0.2,0.79,0,0,0
EMP_0004,14,32,M,BA,Admin,111,522.1,7.8,2,0.02,0.79,0,0,0
EMP_0004,15,32,M,BA,Admin,112,522.1,18.0,3,0.19,0.72,0,0,0
EMP_0004,16,32,M,BA,Admin,113,522.1,19.6,4,0.2,0.95,0,0,0
EMP_0004,17,32,M,BA,Admin,114,522.1,22.5,2,0.27,0.67,0,0,0
EMP_0004,18,32,M,BA,Admin,115,522.1,16.4,3,0.21,0.77,0,0,0
EMP_0004,19,32,M,BA,Admin,116,522.1,15.1,4,0.15,0.83,0,0,0
EMP_0004,20,32,M,BA,Admin,117,522.1,0.0,3,-0.02,0.93,0,0,0
EMP_0004,21,32,M,BA,Admin,118,522.1,13.8,3,0.04,0.85,0,0,0
EMP_0004,22,32,M,BA,Admin,119,522.1,5.8,3,0.09,0.81,1,0,0
EMP_0004,23,32,M,BA,Admin,120,522.1,18.1,3,0.24,0.75,0,0,0
EMP_0004,24,33,M,BA,Admin,121,548.2,21.7,5,0.26,1.04,0,1,0
EMP_0004,25,33,M,BA,Admin,122,548.2,19.3,3,0.25,0.74,0,0,0
EMP_0004,26,33,M,BA,Admin,123,548.2,10.9,4,0.14,0.96,0,0,0
EMP_0004,27,33,M,BA,Admin,124,548.2,22.7,3,0.22,0.78,0,0,0
EMP_0004,28,33,M,BA,Admin,125,548.2,40.7,3,0.31,0.77,0,0,0
EMP_0004,29,33,M,BA,Admin,126,548.2,9.9,1,0.1,0.53,0,0,0
EMP_0004,30,33,M,BA,Admin,127,548.2,14.4,5,0.22,0.99,0,0,0
EMP_0004,31,33,M,BA,Admin,128,548.2,18.1,4,0.21,0.89,0,0,0
EMP_0004,32,33,M,BA,Admin,129,548.2,14.3,3,0.11,0.76,0,0,0
EMP_0004,33,33,M,BA,Admin,130,548.2,26.1,3,0.29,0.76,0,0,0
EMP_0004,34,33,M,BA,Admin,131,548.2,40.0,3,0.32,0.77,0,0,0
EMP_0004,35,33,M,BA,Admin,132,548.2,0.0,3,-0.09,0.78,0,0,0
EMP_0004,36,34,M,BA,Admin,133,548.2,37.1,3,0.37,0.77,0,0,0
EMP_0005,1,40,F,BA,HR,47,507.0,10.5,4,0.09,0.83,0,0,0
EMP_0005,2,40,F,BA,HR,48,507.0,27.6,4,0.23,0.92,0,0,0
EMP_0005,3,40,F,BA,HR,49,507.0,30.1,3,0.21,0.83,0,0,0
EMP_0005,4,40,F,BA,HR,50,507.0,22.8,3,0.17,0.76,0,0,0
EMP_0005,5,40,F,BA,HR,51,507.0,20.5,3,0.23,0.77,0,0,0
EMP_0005,6,40,F,BA,HR,52,507.0,38.8,3,0.46,0.72,0,0,0
EMP_0005,7,40,F,BA,HR,53,507.0,21.0,2,0.21,0.71,0,0,0
EMP_0005,8,40,F,BA,HR,54,507.0,18.4,4,0.16,0.91,0,0,0
EMP_0005,9,40,F,BA,HR,55,507.0,0.0,3,-0.02,0.89,0,0,0
EMP_0005,10,40,F,BA,HR,56,507.0,17.5,3,0.16,0.81,0,0,0
EMP_0005,11,40,F,BA,HR,57,507.0,18.4,3,0.17,0.71,0,0,0
EMP_0005,12,41,F,BA,HR,58,507.0,45.7,2,0.46,0.57,0,0,0
EMP_0005,13,41,F,BA,HR,59,507.0,26.7,3,0.27,0.72,0,0,0
EMP_0005,14,41,F,BA,HR,60,507.0,17.5,3,0.25,0.65,0,0,0
EMP_0005,15,41,F,BA,HR,61,507.0,7.6,3,0.01,0.76,0,0,0
EMP_0005,16,41,F,BA,HR,62,507.0,29.4,1,0.36,0.49,0,0,1
